record_id,platform,architecture,f1_bearer,n,mean_dl_mbps,sample_sd_mbps,min_dl_mbps,max_dl_mbps,ci95_low_mbps,ci95_high_mbps,series_provenance,lab_environment,individual_series
X86-MONO-FINAL,x86,monolithic,local,20,190.675,1.420,188.9,192.7,190.010,191.340,per_run_series_sorted,fixed_enclosed_lab,retained
X86-ETH-FINAL,x86,split_tuned,Ethernet,20,99.770,2.513,96.2,104.1,98.594,100.946,per_run_series_sorted,fixed_enclosed_lab,retained
X86-GRE-FINAL,x86,split,Wi-Fi_GRE,20,52.010,0.888,50.7,53.4,51.594,52.426,per_run_series_sorted,fixed_enclosed_lab,retained
X86-QWG-FINAL,x86,split,5G_WireGuard,20,76.690,4.508,70.6,84.5,74.580,78.800,per_run_series_sorted,fixed_enclosed_lab,retained
PI-ETH-FINAL,Raspberry_Pi_5,split,Ethernet,20,21.855,3.354,16.0,26.7,20.285,23.425,per_run_series_sorted,fixed_enclosed_lab,retained
PI-GRE-FINAL,Raspberry_Pi_5,split,Wi-Fi_GRE,20,12.730,2.923,8.8,17.4,11.362,14.098,per_run_series_sorted,fixed_enclosed_lab,retained
PI-QWG-FINAL,Raspberry_Pi_5,split,5G_WireGuard,20,47.795,0.704,46.5,49.3,47.465,48.125,per_run_series_sorted,fixed_enclosed_lab,retained
JETSON-ETH-FINAL,Jetson_Orin_Nano,split,Ethernet,20,10.185,1.202,8.4,12.6,9.623,10.747,per_run_series_sorted,fixed_enclosed_lab,retained
JETSON-GRE-FINAL,Jetson_Orin_Nano,split,Wi-Fi_GRE,20,8.105,0.513,7.1,8.8,7.865,8.345,per_run_series_sorted,fixed_enclosed_lab,retained
JETSON-QWG-FINAL,Jetson_Orin_Nano,split,5G_WireGuard,20,68.435,1.504,65.6,70.6,67.731,69.139,per_run_series_sorted,fixed_enclosed_lab,retained
