record_id,platform,architecture,f1_bearer,observation_rank,dl_mbps
X86-MONO-FINAL,x86,monolithic,local,1,188.9
X86-MONO-FINAL,x86,monolithic,local,2,189.0
X86-MONO-FINAL,x86,monolithic,local,3,189.0
X86-MONO-FINAL,x86,monolithic,local,4,189.0
X86-MONO-FINAL,x86,monolithic,local,5,189.2
X86-MONO-FINAL,x86,monolithic,local,6,189.6
X86-MONO-FINAL,x86,monolithic,local,7,189.6
X86-MONO-FINAL,x86,monolithic,local,8,189.7
X86-MONO-FINAL,x86,monolithic,local,9,190.1
X86-MONO-FINAL,x86,monolithic,local,10,190.4
X86-MONO-FINAL,x86,monolithic,local,11,190.5
X86-MONO-FINAL,x86,monolithic,local,12,190.8
X86-MONO-FINAL,x86,monolithic,local,13,191.2
X86-MONO-FINAL,x86,monolithic,local,14,191.8
X86-MONO-FINAL,x86,monolithic,local,15,191.9
X86-MONO-FINAL,x86,monolithic,local,16,192.4
X86-MONO-FINAL,x86,monolithic,local,17,192.5
X86-MONO-FINAL,x86,monolithic,local,18,192.5
X86-MONO-FINAL,x86,monolithic,local,19,192.7
X86-MONO-FINAL,x86,monolithic,local,20,192.7
X86-ETH-FINAL,x86,split_tuned,Ethernet,1,96.2
X86-ETH-FINAL,x86,split_tuned,Ethernet,2,96.2
X86-ETH-FINAL,x86,split_tuned,Ethernet,3,96.3
X86-ETH-FINAL,x86,split_tuned,Ethernet,4,97.5
X86-ETH-FINAL,x86,split_tuned,Ethernet,5,97.6
X86-ETH-FINAL,x86,split_tuned,Ethernet,6,97.9
X86-ETH-FINAL,x86,split_tuned,Ethernet,7,97.9
X86-ETH-FINAL,x86,split_tuned,Ethernet,8,98.0
X86-ETH-FINAL,x86,split_tuned,Ethernet,9,98.6
X86-ETH-FINAL,x86,split_tuned,Ethernet,10,100.1
X86-ETH-FINAL,x86,split_tuned,Ethernet,11,100.4
X86-ETH-FINAL,x86,split_tuned,Ethernet,12,100.6
X86-ETH-FINAL,x86,split_tuned,Ethernet,13,100.9
X86-ETH-FINAL,x86,split_tuned,Ethernet,14,101.4
X86-ETH-FINAL,x86,split_tuned,Ethernet,15,101.5
X86-ETH-FINAL,x86,split_tuned,Ethernet,16,101.5
X86-ETH-FINAL,x86,split_tuned,Ethernet,17,101.9
X86-ETH-FINAL,x86,split_tuned,Ethernet,18,103.0
X86-ETH-FINAL,x86,split_tuned,Ethernet,19,103.8
X86-ETH-FINAL,x86,split_tuned,Ethernet,20,104.1
